Rank,Data,Processo,Empenho,Tipo,Favorecido,CPF/CNPJ,_doc,Valor,_valor,Historico,Funcao,Subfuncao,Programa,Acao,Categoria Economica,Grupo Natureza,Elemento Despesa,Fonte Recurso
21,06/03/2026,0000001/2025,0000169/2026,Estimativo,ERALDO TRANSPORTES LTDA,10.438.124/0001-07,10438124000107,"R$ 480.157,34",480157.34,Complementacao de empenho referente ao 3º termo aditivo de prorrogacao com vigencia de 07/03/2026 a 07/03/2027.,12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
22,05/01/2026,0000061/2024,0000104/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 477.778,05",477778.05,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, atendimento ambulatorial, eletivo e de urgencia/emergencia; internacoes hospitalares de urgencia/emergencia;",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,1002 - Identificacao das despesas com acoes e servicos publicos de saude
23,14/04/2026,0000001/2025,0002234/2026,Global,ERALDO TRANSPORTES LTDA,10.438.124/0001-07,10438124000107,"R$ 461.996,47",461996.47,"Referente ao 4º termo aditivo, quanto ao reequilibrio economico financeiro dos valores unitarios contratados, nos termos da lei 14.133/21.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
24,14/04/2026,0000001/2025,0002199/2026,Global,ERALDO TRANSPORTES LTDA,10.438.124/0001-07,10438124000107,"R$ 461.996,47",461996.47,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
25,06/03/2026,0000001/2025,0000180/2026,Estimativo,TRANSPORTADORA SANTA RITA LTDA,11.274.588/0001-98,11274588000198,"R$ 440.788,23",440788.23,Complementacao de empenho referente ao 3º termo aditivo de prorrogacao com vigencia de 07/03/2026 a 07/03/2027.,12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
26,28/04/2026,0002452/2026,0002452/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 431.966,49",431966.49,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1070 - Identificacao do percentual aplicado no pagamento da remuneracao dos profissionais da educacao basica em efetivo exercicio
27,27/04/2026,0002452/2026,0002452/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 431.966,49",431966.49,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1070 - Identificacao do percentual aplicado no pagamento da remuneracao dos profissionais da educacao basica em efetivo exercicio
28,14/04/2026,0000001/2025,0002240/2026,Global,TRANSPORTADORA SANTA RITA LTDA,11.274.588/0001-98,11274588000198,"R$ 424.180,37",424180.37,"Referente ao 4º termo aditivo, quanto ao reequilibrio economico financeiro dos valores unitarios contratados, nos termos da lei 14.133/21.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
29,14/04/2026,0000001/2025,0002205/2026,Global,TRANSPORTADORA SANTA RITA LTDA,11.274.588/0001-98,11274588000198,"R$ 424.180,37",424180.37,"Contratacao de empresa(s) especializada (s) para prestacao de servicos de transporte escolar de alunos da Rede Municipal de Ensino e Estadual neste Municipio, conforme itinerarios e demais especificacoes contidas no edital e seus anexos.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
30,05/01/2026,0000074/2024,0000290/2026,Global,L&D ASSOCIADOS LTDA,46.259.341/0001-87,46259341000187,"R$ 370.660,12",370660.12,"Credenciamento para prestacao de servicos medicos especializados, na realizacao de consultas medicas especializadas, exames de imagem e procedimento oftalmologico com profissionais de nivel superior habilitados, na respectiva area. Contrato nº 043/2024.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,1002 - Identificacao das despesas com acoes e servicos publicos de saude
31,28/04/2026,0002449/2026,0002449/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 367.904,82",367904.82,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1070 - Identificacao do percentual aplicado no pagamento da remuneracao dos profissionais da educacao basica em efetivo exercicio
32,27/04/2026,0002449/2026,0002449/2026,Ordinario,FOLHA DE PAGAMENTO,18.668.624/0001-47,18668624000147,"R$ 367.904,82",367904.82,"FOLHA DE PAGAMENTO DE SERVIDORES MUNICIPAIS, REFERENTE A  - FOLHA GERAL DO MES DE ABRIL DE 2026.",12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1201 - ATENDIMENTO AO ENSINO FUNDAMENTAL,2.042 - MANUTENCAO ENSINO FUNDAMENTAL,30000000000 - Despesas Correntes,31000000000 - Pessoal e Encargos Sociais,31901100000 - Vencimentos e Vantagens Fixas - Pessoal Civil,1070 - Identificacao do percentual aplicado no pagamento da remuneracao dos profissionais da educacao basica em efetivo exercicio
33,06/03/2026,0000001/2025,0000177/2026,Estimativo,PIZA TRANSPORTES LTDA,11.298.332/0001-10,11298332000110,"R$ 367.555,04",367555.04,Complementacao de empenho referente ao 3º termo aditivo de prorrogacao com vigencia de 07/03/2026 a 07/03/2027.,12 - EDUCACAO,361 - ENSINO FUNDAMENTAL,1202 - ATENDIMENTO AO TRANSPORTE ESCOLAR,2.045 - MANUTENCAO TRANSPORTE ESCOLAR,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
34,05/01/2026,000419PRC/2023,0000316/2026,Global,GIBIEL E GONCALVES LTDA - EPP,09.013.998/0001-33,09013998000133,"R$ 364.301,00",364301.0,"CONTRATACAO EMP.ESPECIALIZADA P/ FORNEC.OXIGENIO REFERENTE A FUTURA E EVENTUAL AQUISICAO LOCACAO DE OXIGENIO MEDICINAL DOMICILIAR DESTINADOS A ATENDER OS USUARIOS COM QUADRO DE DOENCA PULMONAR OBSTRUTIVA CRONICA,CONFORME ESPECIFICACOES E DEMAIS CONDICOES",10 - SAUDE,301 - ATENCAO BASICA,1003 - ATENCAO A SAUDE DA POPULACAO,2.058 - MANUTENCAO DA ATENCAO PRIMARIA,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
35,05/01/2026,0000061/2024,0000103/2026,Global,IRMANDADE SANTA CASA DE MISERICORDIA DE MUZAMBINHO,22.830.020/0001-22,22830020000122,"R$ 359.451,00",359451.0,"Contrato para prestacao de servicos de saude no ambito hospitalar com procedimentos de media complexidade, FNS",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.061 - MANUTENCAO BLOCO MEDIA COMPLEXIDADE,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33903900000 - Outros Servicos de Terceiros -Pessoa Juridica,0000 - Sem Complementacao
36,15/01/2026,0000000/2026,0000371/2026,Global,CISMARPA- CONSORCIO INTERMUNICIPAL DE SAUDE,01.990.521/0001-04,01990521000104,"R$ 352.312,22",352312.22,"REPASSE FINANCEIRO PARA A COOPERACAO MUTUA ENTRE AS PARTES, VISANDO A MANUTENCAO DO CONSORCIO, A PRESTACAO DE SERVICOS COMPLEMENTARES DE SAUDE, ASSESSORIA E A REALIZACAO DE CONSULTAS E EXAMES COMPLEMENTARES AOS USUARIOS DO MUNICIPIO.",10 - SAUDE,302 - ASSISTENCIA HOSPITALAR E AMBULATORIAL,1003 - ATENCAO A SAUDE DA POPULACAO,2.067 - CONTRIBUICAO AO CISMARPA,30000000000 - Despesas Correntes,33000000000 - Outras Despesas Correntes,33717000000 - Rateio pela Participacao em Consorcio Publico,1002 - Identificacao das despesas com acoes e servicos publicos de saude
